Books for Programmers
=====================

Download as JSON | TSV | CSV
 https://pldb.io/books.json JSON
 https://pldb.io/books.tsv TSV
 https://pldb.io/books.csv CSV

title,authors,links,year,pages,languagesUsed,publisher
Practical Vim,Drew Neil,"<a href=""https://pragprog.com/titles/dnvim2/practical-vim-second-edition/"">homepage</a>",2012,320,vim,Pragmatic Bookshelf
The Phoenix Project,Gene Kim and Kevin Behr and George Spafford,"<a href=""https://itrevolution.com/book/the-phoenix-project/"">homepage</a>",2013,382,null,IT Revolution Press
Soft Skills: The Software Developer's Life Manual,John Sonmez,"<a href=""https://www.amazon.com/Soft-Skills-software-developers-manual/dp/1617292397"">homepage</a>",2014,504,null,Manning Publications
Modern Operating Systems,Andrew S. Tanenbaum and Herbert Bos,"<a href=""https://www.pearson.com/en-us/subject-catalog/p/modern-operating-systems/P200000003295/9780137618880"">homepage</a>",2014,960,null,Pearson
You Don't Know JS,Kyle Simpson,"<a href=""https://github.com/getify/You-Dont-Know-JS"">source</a>",2015,1128,javascript,O'Reilly Media
Python Crash Course,Eric Matthes,"<a href=""https://nostarch.com/python-crash-course-3rd-edition"">homepage</a>",2015,560,python,No Starch Press
The Pattern On The Stone,Daniel Hillis,"<a href=""https://www.basicbooks.com/titles/w-daniel-hillis/the-pattern-on-the-stone/9780465066933/"">homepage</a>",2015,191,null,Basic Books
Beautiful Racket,Matthias Felleisen and Robby Findler and Matthew Flatt,"<a href=""https://beautifulracket.com/"">homepage</a> <a href=""https://github.com/mbutterick/beautiful-racket"">source</a>",2015,288,null,MIT Press
The Go Programming Language,Alan A. A. Donovan and Brian W. Kernighan,"<a href=""https://www.gopl.io/"">homepage</a>",2015,400,go,Addison-Wesley
Essentials of Compilation,Jeremy G. Siek,"<a href=""https://github.com/IUCompilerCourse/Essentials-of-Compilation"">source</a>",2015,null,racket python x86-assembly,null
Clojure for the Brave and True,Daniel Higginbotham,"<a href=""https://www.braveclojure.com/"">homepage</a>",2015,328,clojure,No Starch Press
Elixir in Action,Saša Jurić,"<a href=""https://www.manning.com/books/elixir-in-action-second-edition"">homepage</a>",2015,384,elixir,Manning Publications
Effective Python,Brett Slatkin,"<a href=""https://effectivepython.com/"">homepage</a>",2015,256,python,Addison-Wesley
Groovy in Action,Dierk König and Paul King and Guillaume Laforge and Cédric Champeau and Hamlet D'Arcy,"<a href=""https://www.manning.com/books/groovy-in-action-second-edition"">homepage</a>",2015,912,groovy,Manning Publications
Grokking Algorithms,Aditya Bhargava,"<a href=""https://www.manning.com/books/grokking-algorithms"">homepage</a>",2016,256,python,Manning Publications
The DevOps Handbook,Gene Kim and Jez Humble and Patrick Debois and John Willis,"<a href=""https://itrevolution.com/book/the-devops-handbook/"">homepage</a>",2016,480,null,IT Revolution Press
Programming in Scala,Martin Odersky and Lex Spoon and Bill Venners and Frank Sommers,"<a href=""https://www.artima.com/shop/programming_in_scala"">homepage</a>",2016,667,scala,Artima Press
Haskell Programming from First Principles,Christopher Allen and Julie Moronuki,"<a href=""https://haskellbook.com/"">homepage</a>",2016,889,haskell,Gumroad
Designing Data-Intensive Applications,Martin Kleppmann,"<a href=""https://dataintensive.net/"">homepage</a>",2017,616,null,O'Reilly Media
The Reasoned Schemer,Daniel P. Friedman and William E. Byrd and Oleg Kiselyov and Jason Hemann,"<a href=""https://mitpress.mit.edu/9780262535519/the-reasoned-schemer/"">homepage</a>",2018,208,scheme,MIT Press
The Rust Programming Language,Steve Klabnik and Carol Nichols,"<a href=""https://nostarch.com/rust-programming-language-2nd-edition"">homepage</a> <a href=""https://github.com/rust-lang/book"">source</a>",2018,552,rust,No Starch Press
Programming Elixir ≥ 1.6,Dave Thomas,"<a href=""https://pragprog.com/titles/elixir16/programming-elixir-1-6/"">homepage</a>",2018,398,elixir,Pragmatic Bookshelf
Writing A Compiler In Go,Thorsten Ball,"<a href=""https://compilerbook.com/"">homepage</a>",2018,288,go,No Starch Press
Programming TypeScript,Boris Cherny,"<a href=""https://www.oreilly.com/library/view/programming-typescript/9781492037644/"">homepage</a>",2019,324,typescript,O'Reilly Media
Pharo by Example 9,Stéphane Ducasse and Gordana Rakic and Sebastian Kaplar and Quentin Ducasse,"<a href=""https://books.pharo.org/pharo-by-example9/"">homepage</a> <a href=""https://github.com/SquareBracketAssociates/PharoByExample9/"">source</a> <a href=""http://books.pharo.org/pharo-by-example9/pdf/2022-03-26-index.pdf"">pdf</a>",2021,318,pharo,Keepers of the lighthouse
Crafting Interpreters,Robert Nystrom,"<a href=""https://craftinginterpreters.com/"">homepage</a> <a href=""https://github.com/munificent/craftinginterpreters"">source</a>",2021,600,java,null
Janet for Mortals,Ian Henry,"<a href=""https://janet.guide/"">homepage</a>",2023,null,janet,null

⁂

Built with Scroll v178.2.3
